id,案内先名（name_ja）,英語名（name_en）,名詞辞書用英語,別名（alias）,カテゴリ（cat）,サブカテゴリ（subcat）,サブカテゴリ英語,エリア（area）,場所（station）,キーワード（keywords）,郵便番号（postcode）,住所（addr）,電話番号（tel）,構内（inside）,改札内（ingate）,喫煙（smoking）,座標（end_point）,緯度経度（lnglat）,日開始時間,日終了時間,月開始時間,月終了時間,火開始時間,火終了時間,水開始時間,水終了時間,木開始時間,木終了時間,金開始時間,金終了時間,土開始時間,土終了時間,公式サイトURL（url）,
185,美々卯,"Noodles and soba ""Mimiu""",,,レストラン・お食事,日本食・寿司,restaurant,ジェイアール京都伊勢丹11F,京都,"飲食店,レストラン,日本食,丼",,京都府京都市下京区烏丸通塩小路下ル東塩小路町,075-342-0012,内,外,禁煙,"11,17,46",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,http://www.mimiu.co.jp/restaurant/kyoto_isetan/,
186,天一,"Tempura ""Ten-ichi""",,,レストラン・お食事,日本食・寿司,restaurant,ジェイアール京都伊勢丹11F,京都,"飲食店,レストラン,日本食,丼",,京都府京都市下京区烏丸通塩小路下ル東塩小路町,075-352-5371,内,外,禁煙,"11,20,46",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,http://www.tenichi.co.jp/index.html,
187,西櫻亭,"Western food ""Sei-oh-tei""",,,レストラン・お食事,レストラン,restaurant,ジェイアール京都伊勢丹11F,京都,"飲食店,レストラン",,京都府京都市下京区烏丸通塩小路下ル東塩小路町,075-352-2337,内,外,,"11,21,46",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,https://www.kyoto-station-building.co.jp/restaurant_cafe/272.html,京都駅ビルのページ
188,神戸カプチーノ倶楽部,"Open-air cafe ""Kobe Cappuccino Club""",,,カフェ・スイーツ,カフェ・スイーツ,restaurant,ジェイアール京都伊勢丹11F,京都,"喫茶店,スイーツ",,京都府京都市下京区烏丸通塩小路下ル東塩小路町,075-352-6259,内,外,禁煙,"11,25,48",,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,https://shop.ufs.co.jp/ufs/spot/detail?code=1020,
189,美菜莉,South Korea home cooking MINARI.,,,レストラン・お食事,中華・アジアン,restaurant,ジェイアール京都伊勢丹11F,京都,"飲食店,レストラン,居酒屋,肉料理",,京都府京都市下京区烏丸通塩小路下ル東塩小路町,075-746-5205,内,外,禁煙,"11,27,47",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,https://www.kyoto-station-building.co.jp/restaurant_cafe/274.html,京都駅ビルのページ
190,京豆腐不二乃,"Tofu dish ""Kyotofu Fujino""",,,レストラン・お食事,日本食・寿司,restaurant,ジェイアール京都伊勢丹11F,京都,"飲食店,レストラン,日本食,創作料理",,京都府京都市下京区烏丸通塩小路下ル東塩小路町,075-352-5401,内,外,禁煙,"11,32,41",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,https://www.kyotofu.co.jp/shoplist/isetan,
191,築地寿司清,"Sushi ""Tsukiji Sushisei""",,,レストラン・お食事,日本食・寿司,restaurant,ジェイアール京都伊勢丹11F,京都,"飲食店,レストラン,日本食,寿司",,京都府京都市下京区烏丸通塩小路下ル東塩小路町,075-352-6223,内,外,分煙,"11,37,40",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,http://www.tsukijisushisay.co.jp/store/i_kyoto.html,
192,モリタ屋,"Quick Meat and Vegetable Stew, Shabu Shabu and oil baking ""Moritaya""",,,レストラン・お食事,グリル（肉・魚）,restaurant,ジェイアール京都伊勢丹11F,京都,"飲食店,レストラン,日本食,肉料理",,京都府京都市下京区烏丸通塩小路下ル東塩小路町,075-365-7788,内,外,分煙,"11,40,38",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,http://www.moritaya-net.com/restaurant/k_jr_isetan.html,
193,松山閣,"Sheet of dried soybean casein and capital rape in season ""Shozankaku""",,,レストラン・お食事,日本食・寿司,restaurant,ジェイアール京都伊勢丹11F,京都,"飲食店,レストラン,日本食,創作料理",,京都府京都市下京区烏丸通塩小路下ル東塩小路町,075-342-0070,内,外,禁煙,"11,45,38",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,http://www.shozankaku.jp/isetan/,
194,ラバロックグリル テルメキョウト,Lava Rock Grill TERME KYOTO,,,レストラン・お食事,グリル（肉・魚）,restaurant,ジェイアール京都伊勢丹7F,京都,"飲食店,レストラン,日本食,肉料理",,京都府京都市下京区烏丸通塩小路下ル東塩小路町,075-606-5454,内,外,禁煙,"7,40,37",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,https://lavarockgrilltermekyoto.owst.jp/,
195,加賀屋,"Open view restaurant ""Kagaya""",,,レストラン・お食事,日本食・寿司,restaurant,ジェイアール京都伊勢丹8F,京都,"飲食店,レストラン,日本食,創作料理",,京都府京都市下京区烏丸通塩小路下ル東塩小路町,075-342-0022,内,外,禁煙,"8,40,38",,1100,2300,1100,2300,1100,2300,1100,2300,1100,2300,1100,2300,1100,2300,http://www.kagaya.co.jp/shoku/shop/shop.php?shop=kyoto,
196,市場小路,"Open view restaurant ""Ichiba Koji""",,,レストラン・お食事,居酒屋・創作料理,restaurant,ジェイアール京都伊勢丹9F,京都,"飲食店,レストラン,創作料理,日本食,ダイニングバー",,京都府京都市下京区烏丸通塩小路下ル東塩小路町,075-365-3388,内,外,禁煙,"9,40,38",,1100,2300,1100,2300,1100,2300,1100,2300,1100,2300,1100,2300,1100,2300,http://www.star-kyoto.co.jp/restaurant/shop-1/,
197,ザキッチン サルヴァトーレ・クオモ,"Open view restaurant ""the Kitchen Salvatore and KUOMO""",,,レストラン・お食事,イタリアン・フレンチ,restaurant,ジェイアール京都伊勢丹10F,京都,"飲食店,レストラン,イタリアン,創作料理",,京都府京都市下京区烏丸通塩小路下ル東塩小路町,075-365-7765,内,外,分煙,"10,40,38",,1100,1600,1100,1600,1100,1600,1100,1600,1100,1600,1100,1600,1100,1600,http://www.kitchensalvatore.jp/kyoto/index.html,
198,炭火串焼きこけこっこ,"Open view restaurant ""charcoal spit-roasted KOKEKOKKO""",,,レストラン・お食事,日本食・寿司,restaurant,ジェイアール京都伊勢丹10F,京都,"飲食店,レストラン,日本食,創作料理",,京都府京都市下京区烏丸通塩小路下ル東塩小路町,075-365-3390,内,外,分煙,"10,46,38",,1100,1600,1100,1600,1100,1600,1100,1600,1100,2300,1100,1630,1100,1600,http://www.koke-kokko.jp/kyoto/,
199,柿安三尺三寸箸,"Open view restaurant ""Kakiyasu Sanjaku sanzunbashi""",,,レストラン・お食事,レストラン,restaurant,ジェイアール京都伊勢丹10F,京都,"飲食店,レストラン",,京都府京都市下京区烏丸通塩小路下ル東塩小路町,075-353-8960,内,外,禁煙,"10,38,39",,1100,1700,1100,1600,1100,1600,1100,1600,1100,1600,1100,2300,1100,1700,https://www.kakiyasuhonten.co.jp/store/detail.php?id=42,
200,カントリーハウス英國屋,Country House Eikokuya,,,レストラン・お食事,レストラン,restaurant,ジェイアール京都伊勢丹3F,京都,"飲食店,レストラン,喫茶店",,京都府京都市下京区烏丸通塩小路下ル東塩小路町,075-352-5460,内,外,分煙,"3,48,41",,0800,2000,0800,2000,0800,2000,0800,2000,0800,2000,0800,2000,0800,2000,http://www.cafe-eikokuya.jp/index.html,
201,フラッグスカフェ,FLAGS Cafe,,,カフェ・スイーツ,カフェ・スイーツ,restaurant,ジェイアール京都伊勢丹4F,京都,喫茶店,,京都府京都市下京区烏丸通塩小路下ル東塩小路町,075-342-2081,内,外,分煙,"4,41,36",,1000,2000,1000,2000,1000,2000,1000,2000,1000,2000,1000,2000,1000,2000,http://www.flags.jp/flagscafe/,
202,ブラウニーズクラブ,Brownies Club,,,カフェ・スイーツ,カフェ・スイーツ,restaurant,ジェイアール京都伊勢丹5F,京都,"喫茶店,スイーツ",,京都府京都市下京区烏丸通塩小路下ル東塩小路町,075-352-5369,内,外,禁煙,"5,42,46",,1000,2000,1000,2000,1000,2000,1000,2000,1000,2000,1000,2000,1000,2000,http://www.foodforesta.com/cafe-browniesclub/,
203,マールブランシュ,MALEBRANCHE,,,カフェ・スイーツ,カフェ・スイーツ,restaurant,ジェイアール京都伊勢丹6F,京都,"喫茶店,スイーツ",,京都府京都市下京区烏丸通塩小路下ル東塩小路町,075-343-2727,内,外,禁煙,"6,40,37",,1000,2000,1000,2000,1000,2000,1000,2000,1000,2000,1000,2000,1000,2000,http://www.malebranche.co.jp/,
204,茶寮都路里,Saryo Tsujiri,,,カフェ・スイーツ,カフェ・スイーツ,restaurant,ジェイアール京都伊勢丹6F,京都,"喫茶店,スイーツ",,京都府京都市下京区烏丸通塩小路下ル東塩小路町,075-352-6622,内,外,禁煙,"6,39,36",,1000,2000,1000,2000,1000,2000,1000,2000,1000,2000,1000,2000,1000,2000,http://www.giontsujiri.co.jp/saryo/store/kyoto_isetan/,
205,はしたて,Hashitate,,,レストラン・お食事,ラーメン・丼,restaurant,JR西口改札前イートパラダイス,京都,"飲食店,レストラン,丼,日本食",,京都市下京区烏丸通塩小路下ル東塩小路町,075-343-4440,内,外,禁煙,"3,43,66",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,http://www.wakuden.jp/tenpo-hashitate/,
206,中村藤吉本店 京都駅店,Nakamura Tokichi honten,,,レストラン・お食事,日本食・寿司,restaurant,JR西口改札前イートパラダイス,京都,"飲食店,レストラン",,京都市下京区烏丸通塩小路下ル東塩小路町,075-352-1111,内,外,禁煙,"3,40,60",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,https://www.tokichi.jp/stores/map_kyoto.html,
207,オステリア サクラ,Osteria SAKURA,,,レストラン・お食事,イタリアン・フレンチ,restaurant,JR西口改札前イートパラダイス,京都,"飲食店,レストラン",,京都市下京区烏丸通塩小路下ル東塩小路町,075-342-3070,内,外,禁煙,"3,43,60",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,http://www.osteria-sakura.jp/,
208,白樺山荘,Sapporo Shirakaba Sansou,,,レストラン・お食事,ラーメン・丼,restaurant,京都駅ビル10階,京都,"飲食店,レストラン,ラーメン",,京都府 京都市下京区烏丸通 塩小路下ル東塩小路町901,075-352-5155,内,外,,"10,40,49",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,http://shirakaba-sansou.com/index.php,
209,東横,Niigata Touyoko,,,レストラン・お食事,ラーメン・丼,restaurant,京都駅ビル10階,京都,"飲食店,レストラン,ラーメン",,京都府 京都市下京区烏丸通 塩小路下ル東塩小路町901,075-343-3232,内,外,,"10,31,48",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,http://www.touyoko.jp/cms/,
210,大勝軒,Tokyo Higashi-Ikebukuro Taishoken,,,レストラン・お食事,ラーメン・丼,restaurant,京都駅ビル10階,京都,"飲食店,レストラン,ラーメン",,京都府 京都市下京区烏丸通 塩小路下ル東塩小路町901,075-365-5066,内,外,,"10,37,47",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,http://www.tai-sho-ken.com/top.html,
211,阪内食堂,Fukushima Kitakata Ramen Bannai-Shokudo,,,レストラン・お食事,ラーメン・丼,restaurant,京都駅ビル10階,京都,"飲食店,レストラン,ラーメン",,京都府 京都市下京区烏丸通 塩小路下ル東塩小路町901,075-365-5070,内,外,,"10,41,46",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,http://ban-nai.com/store_page/b74/b74index.htm,
212,麺屋いろは,Toyama Men-ya Iroha,,,レストラン・お食事,ラーメン・丼,restaurant,京都駅ビル10階,京都,"飲食店,レストラン,ラーメン",,京都府 京都市下京区烏丸通 塩小路下ル東塩小路町901,075-351-5933,内,外,,"10,35,49",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,https://www.menya-iroha.com/,
213,ますたに,Kyoto Ginkakuji Masutani,,,レストラン・お食事,ラーメン・丼,restaurant,京都駅ビル10階,京都,"飲食店,レストラン,ラーメン",,京都府 京都市下京区烏丸通 塩小路下ル東塩小路町901,075-365-2077,内,外,,"10,42,47",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,https://www.kyoto-ramen-koji.com/shop/shop06.html,京都拉麺小路のページ
214,きんせい,kinsei,,,レストラン・お食事,ラーメン・丼,restaurant,京都駅ビル10階,京都,"飲食店,レストラン,ラーメン",,京都府 京都市下京区烏丸通 塩小路下ル東塩小路町901,075-341-5022,内,外,,"10,41,49",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,https://www.kyoto-ramen-koji.com/shop/shop12.html,京都拉麺小路のページ
215,ラーメン東大,Tokushima Ramen Todai,,,レストラン・お食事,ラーメン・丼,restaurant,京都駅ビル10階,京都,"飲食店,レストラン,ラーメン",,京都府 京都市下京区烏丸通 塩小路下ル東塩小路町901,075-344-3802,内,外,,"10,36,49",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,http://ramen-todai.com/,
216,博多一幸舎,Hakata Hakata Ikkousha,,,レストラン・お食事,ラーメン・丼,restaurant,京都駅ビル10階,京都,"飲食店,レストラン,ラーメン",,京都府 京都市下京区烏丸通 塩小路下ル東塩小路町901,075-361-0739,内,外,,"10,40,47",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,https://www.ikkousha.com/,
217,グリルキャピタル 東洋亭,Grill capital Oriental bower,,,レストラン・お食事,グリル（肉・魚）,restaurant,京都駅前地下街ポルタ,京都,"飲食店,レストラン",,京都府京都市下京区烏丸通塩小路下る東塩小路町902,075-343-3222,内,外,禁煙,"b2,32,20",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,http://www.touyoutei.co.jp/shop_post/porta/,
218,京料理 萬重,Kyoto Cuisine Manshige,,,レストラン・お食事,日本食・寿司,restaurant,京都駅前地下街ポルタ,京都,"飲食店,レストラン,和食",,京都府京都市下京区烏丸通塩小路下る東塩小路町902,075-343-3920,内,外,,"b2,36,21",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,http://www.kyoryori-manshige.co.jp/porta/,
219,銀座ハゲ天,Ginza Hageten,,,レストラン・お食事,日本食・寿司,restaurant,京都駅前地下街ポルタ,京都,"飲食店,レストラン,和食",,京都府京都市下京区烏丸通塩小路下る東塩小路町902,075-343-3018,内,外,禁煙,"b2,37,20",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,https://www.hageten.com/cmsapp/shop/%E4%BA%AC%E9%83%BD%E3%83%9D%E3%83%AB%E3%82%BF%E5%BA%97/,
220,こなな,Conana,,,レストラン・お食事,日本食・寿司,restaurant,京都駅前地下街ポルタ,京都,"飲食店,レストラン,和食",,京都府京都市下京区烏丸通塩小路下る東塩小路町902,075-746-5135,内,外,禁煙,"b2,39,20",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,http://www.conana-jp.com/shoplist/kyoto-porta/,
221,洋麺屋五右衛門,Yomenya Goemon,,,レストラン・お食事,イタリアン・フレンチ,restaurant,京都駅前地下街ポルタ,京都,"飲食店,レストラン",,京都府京都市下京区烏丸通塩小路下る東塩小路町902,075-746-5950,内,外,禁煙,"b2,40,17",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,http://www.yomenya-goemon.com/,
222,ドトールコーヒーショップ,Doutor,,,レストラン・お食事,カフェ・スイーツ,restaurant,京都駅前地下街ポルタ,京都,"飲食店,レストラン,喫茶店",,京都府京都市下京区烏丸通塩小路下る東塩小路町902,075-343-6625,内,外,分煙,"b2,40,14",,0800,2200,0800,2200,0800,2200,0800,2200,0800,2200,0800,2200,0800,2200,http://sasp.mapion.co.jp/b/doutor/info/02011812/?shopmastergyokna=1100,
223,モンテロマーノ,Monte Romano,,,レストラン・お食事,イタリアン・フレンチ,restaurant,京都駅前地下街ポルタ,京都,"飲食店,レストラン",,京都府京都市下京区烏丸通塩小路下る東塩小路町902,075-353-7260,内,外,禁煙,"b2,43,16",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,http://www.porta.co.jp/shop/detail/52,ポルタのページ
224,スープストックトーキョー,Soup Stock Tokyo,,,レストラン・お食事,レストラン,restaurant,京都駅前地下街ポルタ,京都,"飲食店,レストラン",,京都府京都市下京区烏丸通塩小路下る東塩小路町902,075-708-2253,内,外,,"b2,43,20",,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,http://www.soup-stock-tokyo.com/store/26/1072/,
225,冨士屋,Fujiya,,,レストラン・お食事,日本食・寿司,restaurant,京都駅前地下街ポルタ,京都,"飲食店,レストラン,日本食",,京都府京都市下京区烏丸通塩小路下る東塩小路町902,075-343-2641,内,外,禁煙,"b2,44,20",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,http://www.porta.co.jp/shop/detail/54,ポルタのページ
226,串かふぇ 凡凡屋,Kushicafe BonBonya,,,レストラン・お食事,日本食・寿司,restaurant,京都駅前地下街ポルタ,京都,"飲食店,レストラン,日本食",,京都府京都市下京区烏丸通塩小路下る東塩小路町902,075-344-3647,内,外,禁煙,"b2,46,20",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,https://kushicafebonbonya.owst.jp/,
227,田ごと,Kyoto TAGOTO,,,レストラン・お食事,日本食・寿司,restaurant,京都駅前地下街ポルタ,京都,"飲食店,レストラン,日本食",,京都府京都市下京区烏丸通塩小路下る東塩小路町902,075-343-3921,内,外,禁煙,"b2,47,20",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,https://www.kyoto-tagoto.co.jp/index.html,
228,めん、色いろ。いつでも、おやつ,"Men iroiro, Itsudemo Oyatsu",,,レストラン・お食事,日本食・寿司,restaurant,京都駅前地下街ポルタ,京都,"飲食店,レストラン,日本食",,京都府京都市下京区烏丸通塩小路下る東塩小路町902,075-746-5182,内,外,禁煙,"b2,50,20",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,https://aselfishgirl.net/meniro/kyoto,
229,ワイアードカフェ,WIRED CAFE,,,レストラン・お食事,カフェ・スイーツ,restaurant,京都駅前地下街ポルタ,京都,"飲食店,レストラン,喫茶店",,京都府京都市下京区烏丸通塩小路下る東塩小路町902,075-353-5606,内,外,禁煙,"b2,52,20",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,https://www.cafecompany.co.jp/brands/wiredcafe/kyoto/,
230,スターバックス コーヒー,Starbucks,,,レストラン・お食事,カフェ・スイーツ,restaurant,京都駅前地下街ポルタ,京都,"飲食店,レストラン,喫茶店",,京都府京都市下京区烏丸通塩小路下る東塩小路町902,075-343-2377,内,外,禁煙,"b2,65,24",,0730,2200,0730,2200,0730,2200,0730,2200,0730,2200,0730,2200,0730,2200,https://www.starbucks.co.jp/store/search/detail.php?id=225,
231,ナナズグリーンティー,nana's green tea,,,レストラン・お食事,カフェ・スイーツ,restaurant,京都駅前地下街ポルタ,京都,"飲食店,レストラン,喫茶店",,京都府京都市下京区烏丸通塩小路下る東塩小路町902,075-354‐7555,内,外,,"b2,59,23",,1000,2100,1000,2100,1000,2100,1000,2100,1000,2100,1000,2100,1000,2100,http://www.nanasgreentea.com/,
232,だし茶漬け えん,Dashi Chazuke En,,,レストラン・お食事,日本食・寿司,restaurant,京都駅前地下街ポルタ,京都,"飲食店,レストラン,日本食",,京都府京都市下京区烏丸通塩小路下る東塩小路町902,075-708-6396,内,外,禁煙,"b2,51,23",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,http://www.dashichazuke-en.com/index.php,
233,コリアンキッチン　シジャン,Korean foods Shijan,,,レストラン・お食事,中華・アジアン,restaurant,京都駅前地下街ポルタ,京都,"飲食店,レストラン",,京都府京都市下京区烏丸通塩小路下る東塩小路町902,075-343-3260,内,外,禁煙,"b2,50,22",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,https://www.gourmet-kineya.co.jp/search/details.php?val=2114,
234,京阿月,Kyoazuki,,,レストラン・お食事,カフェ・スイーツ,restaurant,京都駅前地下街ポルタ,京都,"飲食店,レストラン,スイーツ",,京都府京都市下京区烏丸通塩小路下る東塩小路町902,075-343-5070,内,外,分煙,"b2,47,23",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,http://www.porta.co.jp/shop/detail/37,ポルタのページ
235,とんかつ KYK,Pork cutlet KYK,,,レストラン・お食事,日本食・寿司,restaurant,京都駅前地下街ポルタ,京都,"飲食店,レストラン,日本食",,京都府京都市下京区烏丸通塩小路下る東塩小路町902,075-343-3265,内,外,禁煙,"b2,46,23",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,https://www.tonkatu-kyk.co.jp/storelist/detailpublic?sc=2010,
236,お好み焼き 町や。,Okonomiyaki Machiya,,,レストラン・お食事,日本食・寿司,restaurant,京都駅前地下街ポルタ,京都,"飲食店,レストラン,日本食",,京都府京都市下京区烏丸通塩小路下る東塩小路町902,075-343-3077,内,外,,"b2,44,23",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,http://www.kobe505.co.jp/restaurant/kyoto/post_3.html,
237,味彩や,Ajisaiya,,,レストラン・お食事,日本食・寿司,restaurant,京都駅前地下街ポルタ,京都,"飲食店,レストラン,日本食",,京都府京都市下京区烏丸通塩小路下る東塩小路町902,075-342-1114,内,外,禁煙,"b2,43,23",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,http://www.porta.co.jp/shop/detail/40,ポルタのページ
238,サー・トーマス・リプトン,Sir Thomas Lipton,,,レストラン・お食事,カフェ・スイーツ,restaurant,京都駅前地下街ポルタ,京都,"飲食店,レストラン,喫茶店,スイーツ",,京都府京都市下京区烏丸通塩小路下る東塩小路町902,075-343-3901,内,外,禁煙,"b2,39,23",,0800,2200,0800,2200,0800,2200,0800,2200,0800,2200,0800,2200,0800,2200,http://www.lipton-teahouse.jp/,
239,マルモキッチン,Marumo Kitchen,,,レストラン・お食事,ラーメン・丼,restaurant,京都駅前地下街ポルタ,京都,"飲食店,レストラン,丼",,京都府京都市下京区烏丸通塩小路下る東塩小路町902,075-746-5696,内,外,,"b2,37,24",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,http://marumo-kitchen.com/,
240,四川餐館,Shisen Sankan,,,レストラン・お食事,中華・アジアン,restaurant,京都駅前地下街ポルタ,京都,"飲食店,レストラン,中華",,京都府京都市下京区烏丸通塩小路下る東塩小路町902,075-343-3262,内,外,,"b2,36,23",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,http://www.porta.co.jp/shop/detail/42/1051,ポルタのページ
241,杵屋,Kineya,,,レストラン・お食事,日本食・寿司,restaurant,京都駅前地下街ポルタ,京都,"飲食店,レストラン,日本食",,京都府京都市下京区烏丸通塩小路下る東塩小路町902,075-343-2562,内,外,,"b2,34,23",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,https://www.gourmet-kineya.co.jp/search/details.php?val=38,
242,らーめん かんじん堂 熊五郎,Ramen Kanjindo Kumagoro,,,レストラン・お食事,ラーメン・丼,restaurant,京都駅前地下街ポルタ,京都,"飲食店,レストラン,ラーメン",,京都府京都市下京区烏丸通塩小路下る東塩小路町902,075-343-3199,内,外,禁煙,"b2,33,23",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,http://www.porta.co.jp/shop/detail/45,ポルタのページ
243,スターバックス コーヒーウエスト店,Starbucks   West,,,レストラン・お食事,カフェ・スイーツ,restaurant,京都駅前地下街ポルタ,京都,"飲食店,レストラン,喫茶店",,京都府京都市下京区烏丸通塩小路下る東塩小路町902,075-353-5531,内,外,禁煙,"b2,34,27",,0730,2200,0730,2200,0730,2200,0730,2200,0730,2200,0730,2200,0730,2200,https://www.starbucks.co.jp/store/search/detail.php?id=1199,
244,イノダコーヒ,INODA COFFEE,,,レストラン・お食事,カフェ・スイーツ,restaurant,京都駅前地下街ポルタ,京都,"飲食店,レストラン,喫茶店",,京都府京都市下京区烏丸通塩小路下る東塩小路町902,075-343-2380,内,外,禁煙,"b2,88,20",,0800,2100,0800,2100,0800,2100,0800,2100,0800,2100,0800,2100,0800,2100,https://www.inoda-coffee.co.jp/shop/poruta/,
245,近江スエヒロ京都茶屋,Omi Suehiro Kyoto,,,レストラン・お食事,日本食・寿司,restaurant,京都駅前地下街ポルタ,京都,"飲食店,レストラン,日本食",,京都府京都市下京区烏丸通塩小路下る東塩小路町902,075-354-7050,内,外,,"b2,84,20",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,http://www.porta.co.jp/shop/detail/60,ポルタのページ
246,グランディール,Grand Deal,,,レストラン・お食事,レストラン,restaurant,京都駅前地下街ポルタ,京都,"飲食店,レストラン",,京都府京都市下京区烏丸通塩小路下る東塩小路町902,075-746-6618,内,外,,"b2,80,20",,0800,2100,0800,2100,0800,2100,0800,2100,0800,2100,0800,2100,0800,2100,http://grandir-kyoto.jp/shop01/208.html,
247,味味香,Mimikou,,,レストラン・お食事,日本食・寿司,restaurant,京都駅前地下街ポルタ,京都,"飲食店,レストラン,日本食",,京都府京都市下京区烏丸通塩小路下る東塩小路町902,075-352-3322,内,外,禁煙,"b2,80,22",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,http://www.mimikou.jp,ポルタのページ
248,北極星,Hokkyokusei,,,レストラン・お食事,日本食・寿司,restaurant,京都駅前地下街ポルタ,京都,"飲食店,レストラン,日本食",,京都府京都市下京区烏丸通塩小路下る東塩小路町902,075-585-5459,内,外,,"b2,82,22",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,http://www.porta.co.jp/shop/detail/67,ポルタのページ
249,一風堂,Ippudo,,,レストラン・お食事,ラーメン・丼,restaurant,京都駅前地下街ポルタ,京都,"飲食店,レストラン,ラーメン",,京都府京都市下京区烏丸通塩小路下る東塩小路町902,075-708-5300,内,外,禁煙,"b2,84,22",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,http://www.ippudo.com/,
250,宮崎酒場　ゑびす,Miyazaki Sakaba Ebisu,,,レストラン・お食事,居酒屋・創作料理,restaurant,京都駅前地下街ポルタ,京都,"飲食店,レストラン,居酒屋",,京都府京都市下京区烏丸通塩小路下る東塩小路町902,075-352-5001,内,外,禁煙,"b2,85,22",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,http://www.porta.co.jp/shop/detail/62,ポルタのページ
251,金沢まいもん寿司,Kanazawa Maimon Sushi,,,レストラン・お食事,日本食・寿司,restaurant,京都駅前地下街ポルタ,京都,"飲食店,レストラン",,京都府京都市下京区烏丸通塩小路下る東塩小路町902,075-371-1144,内,外,禁煙,"b2,87,23",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,https://www.maimon-susi.com/,
